title,link
Tenda.W20E.Devices.delIpMacBind.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55459
Altova.MobileTogether.workflowmanagement.XXE,https://www.fortiguard.com/encyclopedia/ips/55601
D-Link.DIR-816.form2userconfig.cgi.username.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55636
DeDeCMS.login.php.userid.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55576
EPrints.cal.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55443
Gotenberg.File.Upload.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/55620
IP-COM.M50.formSetUSBPartition.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55402
IP-COM.M50.setFixTools.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55399
Mercury.Devices.pptp_server.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55577
MotoCMS.Store.Template.Server-Side.Template.Injection,https://www.fortiguard.com/encyclopedia/ips/54911
Nuance.Winscribe.Dictation.Login.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55603
Projectsend.import-orphans.Files.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/55572
Python.rpc.py.Pickle.Deseralization.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55573
Qualcomm.Atheros.lbd.service.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55632
Sitecore.Experience.TemplateParser.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/54880
TOTOLINK.EX200.downloadFlile.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55584
Tenda.AC10U.Devices.SetSysTimeCfg.timeZone.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55565
